'Nom', 'Note'
,8.4444444444
,7.3444444444
,5.4944444444
,9.4533333333
,9.3888888889
,6.6
,7.6066666667
,12.2722222222
,10.5222222222
,8.0388888889
,5.1666666667
,7.7277777778
,10.8266666667
,7.1133333333
,9.4166666667
,6.7111111111
,7.8444444444
,9.3611111111
,5.5833333333
,6.0777777778
,4.8777777778
,5.9055555556
,8.9555555556
,8.9611111111
,15.0277777778
,12.8166666667
,9
,7.7222222222
,11.8333333333
,15.3666666667
,7.7277777778
,8.0833333333
,6.0333333333
,7.2222222222
,10.7
,5.7833333333
,5.85
,8.1888888889
